epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-06-28,468,PA,Belém,1501402,city,103095,6874.64533,189,4936,3,0.0479,1499641,True,False
202126,2021-06-27,467,PA,Belém,1501402,city,102906,6862.04232,39,4933,4,0.0479,1499641,False,False
202125,2021-06-26,466,PA,Belém,1501402,city,102867,6859.44169,76,4929,3,0.0479,1499641,False,False
202125,2021-06-25,465,PA,Belém,1501402,city,102791,6854.37381,102,4926,9,0.0479,1499641,False,False
202125,2021-06-24,464,PA,Belém,1501402,city,102689,6847.57219,231,4917,6,0.0479,1499641,False,False
202125,2021-06-23,463,PA,Belém,1501402,city,102458,6832.1685,139,4911,13,0.0479,1499641,False,False
202125,2021-06-21,461,PA,Belém,1501402,city,102319,6822.89961,210,4898,15,0.0479,1499641,False,False
202125,2021-06-20,460,PA,Belém,1501402,city,102109,6808.89626,3,4883,3,0.0478,1499641,False,False
202124,2021-06-19,459,PA,Belém,1501402,city,102106,6808.69621,73,4880,0,0.0478,1499641,False,False
202124,2021-06-18,458,PA,Belém,1501402,city,102033,6803.82838,136,4880,6,0.0478,1499641,False,False
202124,2021-06-17,457,PA,Belém,1501402,city,101897,6794.75955,98,4874,4,0.0478,1499641,False,False
202124,2021-06-16,456,PA,Belém,1501402,city,101799,6788.22465,143,4870,3,0.0478,1499641,False,False
202124,2021-06-15,455,PA,Belém,1501402,city,101656,6778.68903,146,4867,9,0.0479,1499641,False,False
202124,2021-06-14,454,PA,Belém,1501402,city,101510,6768.95337,91,4858,13,0.0479,1499641,False,False
202124,2021-06-13,453,PA,Belém,1501402,city,101419,6762.88525,12,4845,2,0.0478,1499641,False,False
202123,2021-06-12,452,PA,Belém,1501402,city,101407,6762.08506,215,4843,2,0.0478,1499641,False,False
202123,2021-06-11,451,PA,Belém,1501402,city,101192,6747.74829,257,4841,4,0.0478,1499641,False,False
202123,2021-06-10,450,PA,Belém,1501402,city,100935,6730.61086,111,4837,9,0.0479,1499641,False,False
202123,2021-06-09,449,PA,Belém,1501402,city,100824,6723.20909,92,4828,15,0.0479,1499641,False,False
