epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-06-28,475,RS,Porto Alegre,4314902,city,135465,9102.28913,8,5095,2,0.0376,1488252,True,False
202126,2021-06-27,474,RS,Porto Alegre,4314902,city,135457,9101.75159,18,5093,5,0.0376,1488252,False,False
202125,2021-06-26,473,RS,Porto Alegre,4314902,city,135439,9100.54211,140,5088,12,0.0376,1488252,False,False
202125,2021-06-25,472,RS,Porto Alegre,4314902,city,135299,9091.1351,1126,5076,19,0.0375,1488252,False,False
202125,2021-06-24,471,RS,Porto Alegre,4314902,city,134173,9015.47587,269,5057,26,0.0377,1488252,False,False
202125,2021-06-23,470,RS,Porto Alegre,4314902,city,133904,8997.40098,24,5031,9,0.0376,1488252,False,False
202125,2021-06-22,469,RS,Porto Alegre,4314902,city,133880,8995.78835,132,5022,17,0.0375,1488252,False,False
202125,2021-06-21,468,RS,Porto Alegre,4314902,city,133748,8986.91888,22,5005,1,0.0374,1488252,False,False
202125,2021-06-20,467,RS,Porto Alegre,4314902,city,133726,8985.44064,4,5004,5,0.0374,1488252,False,False
202124,2021-06-19,466,RS,Porto Alegre,4314902,city,133722,8985.17187,340,4999,16,0.0374,1488252,False,False
202124,2021-06-18,465,RS,Porto Alegre,4314902,city,133382,8962.32627,2078,4983,15,0.0374,1488252,False,False
202124,2021-06-17,464,RS,Porto Alegre,4314902,city,131304,8822.69938,22,4968,12,0.0378,1488252,False,False
202124,2021-06-16,463,RS,Porto Alegre,4314902,city,131282,8821.22114,39,4956,24,0.0378,1488252,False,False
202124,2021-06-15,462,RS,Porto Alegre,4314902,city,131243,8818.60061,87,4932,21,0.0376,1488252,False,False
202124,2021-06-14,461,RS,Porto Alegre,4314902,city,131156,8812.75483,2,4911,-1,0.0374,1488252,False,False
202124,2021-06-13,460,RS,Porto Alegre,4314902,city,131154,8812.62044,7,4912,1,0.0375,1488252,False,False
202123,2021-06-12,459,RS,Porto Alegre,4314902,city,131147,8812.15009,51,4911,25,0.0374,1488252,False,False
202123,2021-06-11,458,RS,Porto Alegre,4314902,city,131096,8808.72325,121,4886,7,0.0373,1488252,False,False
202123,2021-06-10,457,RS,Porto Alegre,4314902,city,130975,8800.59291,-2,4879,11,0.0373,1488252,False,False
202123,2021-06-09,456,RS,Porto Alegre,4314902,city,130977,8800.7273,271,4868,18,0.0372,1488252,False,False
202123,2021-06-08,455,RS,Porto Alegre,4314902,city,130706,8782.51801,52,4850,20,0.0371,1488252,False,False
202123,2021-06-07,454,RS,Porto Alegre,4314902,city,130654,8779.02398,4820,4830,4,0.037,1488252,False,False
202122,2021-06-05,452,RS,Porto Alegre,4314902,city,125834,8455.1541,108,4826,7,0.0384,1488252,False,False
202122,2021-06-04,451,RS,Porto Alegre,4314902,city,125726,8447.89726,16,4819,7,0.0383,1488252,False,False
202122,2021-06-03,450,RS,Porto Alegre,4314902,city,125710,8446.82218,108,4812,16,0.0383,1488252,False,False
202122,2021-06-02,449,RS,Porto Alegre,4314902,city,125602,8439.56534,143,4796,14,0.0382,1488252,False,False
202122,2021-06-01,448,RS,Porto Alegre,4314902,city,125459,8429.95675,102,4782,13,0.0381,1488252,False,False
202122,2021-05-31,447,RS,Porto Alegre,4314902,city,125357,8423.10308,30,4769,0,0.038,1488252,False,False
202122,2021-05-30,446,RS,Porto Alegre,4314902,city,125327,8421.08729,16,4769,3,0.0381,1488252,False,False
202121,2021-05-29,445,RS,Porto Alegre,4314902,city,125311,8420.0122,211,4766,28,0.038,1488252,False,False
202121,2021-05-27,443,RS,Porto Alegre,4314902,city,125100,8405.8345,80,4738,12,0.0379,1488252,False,False
202121,2021-05-26,442,RS,Porto Alegre,4314902,city,125020,8400.45906,270,4726,18,0.0378,1488252,False,False
202121,2021-05-25,441,RS,Porto Alegre,4314902,city,124750,8382.31697,73,4708,23,0.0377,1488252,False,False
202121,2021-05-24,440,RS,Porto Alegre,4314902,city,124677,8377.41189,3,4685,-4,0.0376,1488252,False,False
